"Date","Open","ClosingPrice","DailyHigh","DailyLow","VolumePcs"
"42620","141.8","143.08","143.45","141.42","49380140"
"42619","136.87","141.4","141.4","136.61","60304240"
"42618","136.28","136.05","137.19","135.76","23213580"
"42615","135.29","135.55","136.35","134.8","15681030"
"42614","135.01","134.99","135.87","134.27","21063240"
"42613","135.55","134.95","135.81","134","30193350"
"42612","136.2","135.59","136.84","135.5","16268490"
"42611","135.43","136.2","136.2","134.5","10447260"
"42608","135.2","136.2","136.4","134.32","20889750"
"42607","136.5","135.42","136.74","134.5","21017260"
"42606","137.24","137","137.43","136.26","13517300"
"42605","137.3","137.37","137.9","136.76","14107540"
"42604","136.78","137.8","137.81","136.04","13095310"
"42601","138.49","136.8","138.78","136.8","15219750"
"42600","137.5","138.4","138.49","137.33","19280130"
"42599","137.99","137.68","137.99","136.26","18190650"
"42598","138","137.99","139.37","137.18","28998930"
"42597","138.04","138","138.7","137.37","20766230"
"42594","137.4","137.83","138.4","137.03","20691860"
"42593","137.04","137.19","137.49","136.05","23170070"
"42592","137.39","137.4","138.65","137","21443520"
"42591","137.11","137.34","138.39","136.93","22343320"
"42590","136","137.47","137.5","135.72","22224000"
"42587","136.6","135.5","137.33","134.65","23427500"
"42586","134.9","136.7","136.7","134.89","25755030"
"42585","134.5","134.04","134.9","133.2","25417550"
"42584","137","134.5","137.1","134.2","26031460"
"42583","137.73","136.93","138.69","136.65","20364090"
"42580","139.5","137.3","139.64","136.54","35665920"
"42579","139.05","139.9","140.46","138.61","24843310"
"42578","140.2","139.5","140.85","138.35","25875420"
"42577","140.94","140.69","141.11","139.53","17813320"
"42576","140.6","140.7","141.98","139.9","17780960"
"42573","139.7","140.6","141.3","139.7","14583890"
"42572","140","140.1","140.95","139.11","17372670"
"42571","139.48","139.26","139.95","137.82","23904470"
"42570","139.01","139.48","140","138.18","39283560"
"42569","147.4","145.84","148.25","145.12","32925040"
"42566","143.95","147.37","147.37","143.7","39498930"
"42565","143.51","144.2","144.24","142.52","24796100"
"42564","142.01","143.6","144.14","141.8","28019780"
"42563","141.6","142.12","142.9","141.38","30379740"
"42562","140.8","141.4","141.5","140.33","16687140"
"42559","139.52","140.27","140.9","138.84","21914480"
"42558","140.31","140.37","141.85","139.75","23355290"
"42557","140.94","139.99","141.15","139.2","19126440"
"42556","141.7","140.95","141.8","139.9","16935850"
"42555","140.75","141.6","142.35","140.09","19175690"
"42552","139.81","140.05","140.79","138.92","15593930"
"42551","140.01","139.51","141.89","139.43","24651670"
"42550","139.6","140","140.83","139.2","17156160"
"42549","139.2","139.24","140.12","138.55","22658400"
"42548","141.03","138.52","141.74","138.52","23927190"
"42545","139.81","141.25","141.29","136.87","46794930"
"42544","143","144.2","144.2","141.34","19912990"
"42543","143.7","143","144.2","142.69","19383470"
"42542","142.98","143.54","143.85","141.2","22044020"
"42541","141.14","142.97","143.64","141.07","20521080"
"42538","140.28","139.32","142.25","139.32","32467330"
"42537","141","139.5","141.55","138.4","30703770"
"42536","141.9","141.57","142.6","140.19","31129560"
"42535","142.35","141.84","143.13","140.38","24082020"
"42531","144.7","142.44","144.75","142.44","22263610"
"42530","147","144.98","147","144.25","18917400"
"42529","148.04","146.95","149.14","145.43","29358010"
"42528","146.43","147.75","148.9","146","25129620"
"42527","144.33","146.4","147","144.23","21152730"
"42524","144.35","143.41","145.43","142.7","33546300"
"42523","144.86","144","145.64","142.85","23755310"
"42522","145.9","144.7","146.71","143.63","28993730"
"42521","149.74","145.5","150.29","145.5","41566130"
"42520","149.97","149.6","150.15","147.76","14857530"
"42517","148.8","149.88","149.88","147.58","30197220"
"42516","147.34","148.87","149.88","146.63","34524860"
"42515","146.9","146.55","148.37","146.34","31261980"
"42514","144.95","146.35","146.8","144.46","23818470"
"42513","145.99","144.31","146.47","143.83","27115610"
"42510","149.37","146.7","149.56","145.64","40182780"
"42509","151.25","148.33","155.55","148.33","68045200"
"42508","153.5","152.1","153.5","151.8","23076220"
"42507","155.1","153.58","156","150.6","65014110"
"42506","159.98","158.07","162.54","157.5","32878210"
"42503","159.3","159.85","160.18","157.32","20352970"
"42502","160.95","159.03","162.34","159.03","26356750"
"42501","157.24","159.45","160.49","156.7","29597260"
"42500","158.78","156.85","161.15","156.15","28797150"
"42496","160.7","159.27","160.9","158.55","26293500"
"42495","161.3","160.5","163.24","160.07","30108940"
"42494","166.37","162.4","170.43","158.25","68632160"
"42489","164.6","168.47","169.47","163.42","71095120"
"42488","161.03","164.75","164.75","158.9","52034560"
"42487","163.88","160.99","164.8","159.3","39136260"
"42486","159.82","163","163.32","159.31","34849710"
"42485","160.81","160.3","161.75","158.61","32046440"
"42482","162.11","161.2","162.45","158.25","35869160"
"42481","164.76","161.8","164.76","157.61","64666780"
"42480","155.88","161.95","162.3","155.82","97396080"
"42479","146.5","155.95","156.14","146.2","105794140"
"42478","146","146.3","146.77","143.28","42012940"
"42475","150.69","147.99","150.71","147.02","29369920"
"42474","153.34","150.43","154.9","149.16","50122630"
"42473","149.1","153.12","154.75","148.88","59208980"
"42472","147.3","148.9","149.35","146.04","37601070"
"42471","145.7","147.3","147.5","145.1","32151830"
"42468","144.22","145.7","146","144.1","23591440"
"42467","144.93","143.89","145.5","143.05","21781240"
"42466","144.87","144.2","145.5","144.03","24087740"
"42465","145.1","144.34","145.35","143.57","23255740"
"42464","","146.38","","145.35","29017600"
"42461","147.02","147.2","147.5","143.93","36517160"
"42460","147.5","147.75","148.17","146.05","35076790"
"42459","145.21","147.8","149.09","144.52","34382560"
"42458","144.75","144.7","145.16","142.86","24668120"
"42457","146.52","145.1","147.5","144.6","13124070"
"42454","146.3","146.04","146.89","145.82","7642310"
"42453","145.2","145.8","145.95","144.49","24605060"
"42452","149.14","146","149.53","145.07","32433570"
"42451","149.99","149.62","150.64","147.8","37412010"
"42450","149.57","149.9","149.92","147.75","40916030"
"42447","147.22","150.65","150.74","146.56","52467360"
"42446","145.61","147.27","147.4","145.08","47202490"
"42445","142.99","144.75","144.75","142.72","23949860"
"42444","143.4","142.54","144.45","142.06","46960220"
"42443","144.47","143.2","144.71","141.91","28152680"
"42440","147.01","144.3","147.2","143.6","36112430"
"42439","148.04","146.94","148.56","146.16","31374500"
"42438","149.02","147.43","149.93","146.07","47120710"
"42436","146.86","150.15","150.15","146.64","28025460"
"42433","144.6","146.16","146.16","143.76","33613690"
"42432","140.61","144.5","144.5","140.5","48742420"
"42431","142.6","140.14","143.07","139.75","27393890"
"42430","141.89","142","142.75","140.85","30244550"
"42429","137.89","141.4","141.52","137.5","37875470"
"42426","138.8","138.67","139.98","138","32716070"
"42425","137.7","137.97","139.46","135.55","35448000"
"42424","138.56","137.15","138.75","136.25","27752530"
"42422","136.99","139.9","139.95","136.62","19289610"
"42419","137.29","136.9","137.29","135.62","25520350"
"42418","137.4","138","138.9","137.11","31976900"
"42417","135.5","137.1","137.2","135.05","31349980"
"42416","134.5","135.85","136.45","133.95","49326570"
"42415","132.01","133.43","133.9","132.01","24469030"
"42412","131.17","131.3","132.23","130.71","27049420"
"42411","132.87","130.49","133.08","129.31","44068540"
"42410","132.06","133.03","133.92","131.8","26628310"
"42409","132.98","132.7","135.19","132.45","30994180"
"42408","134.3","133.5","134.97","132.15","30581080"
"42405","134.5","134.43","136.2","133.91","24348950"
"42404","133.16","135.07","135.25","132.62","38500510"
"42403","131.9","131.01","133","130.91","30520610"
"42402","133.05","132.5","135.28","132.09","36229240"
"42401","136.01","133.9","136.34","132.82","31931470"
"42398","137","136.6","137.2","133.33","41603070"
"42397","133.9","136.5","136.5","133.15","40288270"
"42396","132.14","134","134","131.85","28642080"
"42395","131","131.89","132.45","130.34","26161430"
"42394","133.14","133","133.19","130.68","30428580"
"42391","129.99","132.4","132.98","128.34","57511540"
"42390","126.01","127.75","128.09","125.55","34296460"
"42389","123.6","125.83","125.83","122.8","35375480"
"42388","125.52","125.98","128.4","125.3","36452020"
"42387","124.8","124.6","126.3","122.75","36024930"
"42384","130.31","125.1","132.43","125.05","62125020"
"42383","130.99","130.86","131.49","129.01","43969320"
"42382","134.17","131.3","134.48","131.2","30807200"
"42381","130.4","133.54","135.25","130.1","39697670"
"42380","133","131.38","133.65","131.1","34008830"
"42375","136.31","135.94","136.93","135.3","10393910"
"42374","134.66","136.45","137.28","134.61","14285210"
"42373","135.89","134.91","136.65","134.42","12409380"
"42368","137.49","136.09","137.49","135.45","17586600"
"42367","135.26","137.49","137.55","134.74","21516980"
"42366","134.35","134.97","135.4","133.76","11795110"
"42363","136.49","134.48","136.49","134.03","14866310"
"42362","135.85","136","138.08","134.45","36828650"
"42361","133.55","135.3","135.3","133.35","26760910"
"42360","132","133.2","133.54","131.81","20022420"
"42359","132","131.5","133.94","131","28393100"
"42356","137.29","132.25","137.39","132.25","38544860"
"42355","134.65","137.9","138.69","134.65","45419720"
"42354","134.5","134.5","135.17","133.95","20568260"
"42353","132.24","134.4","134.9","132.1","31392380"
"42352","133.09","131.59","133.18","130.9","34282190"
"42349","135.17","133.8","135.6","132.5","27473980"
"42348","135.65","135.6","136.82","135","25913580"
"42347","134.93","135.81","136.2","134.4","25660130"
"42346","134.31","134.65","135.56","133.28","35664680"
"42345","137.51","134.5","138.58","134.3","37356040"
"42342","140.4","137.7","141.6","137","37016790"
"42341","136.56","140","140.66","136.53","41873610"
"42340","137.51","136.85","139.45","136.3","28341350"
"42339","140","137.42","140","136.88","25380730"
"42338","140.35","138","142.47","138","39800140"
"42335","143","140.65","143.1","140.62","29718120"
"42334","144.27","143.2","146.21","141.86","31481580"
"42333","146","143.99","147.07","142.26","43594760"
"42332","151.82","145.65","152.84","144.7","60240380"
"42331","147.87","152","152","145.88","42929680"
"42328","146.11","148.05","148.91","144.74","30783620"
"42327","148.14","147.5","149.98","145.17","61650450"
"42326","142.84","147.47","147.95","141.78","51723210"
"42325","138.27","142.75","143.5","137.82","61489770"
"42324","136.45","137.21","139.2","135.6","35805200"
"42321","136.44","136","137.36","135.7","28863030"
"42320","135.02","136.6","138.87","134.53","50100910"
"42319","136","135","136.65","134.6","30604530"
"42318","136.49","135.58","136.95","135.32","27182510"
"42317","138.1","136.5","138.34","135.7","26035830"
"42314","140.91","137.75","142.3","137.3","34931350"
"42313","141.9","140.97","142.94","140.48","36802170"
"42311","137.6","141.75","142","137.41","38388870"
"42310","135.49","137.8","137.8","135.12","23047740"
"42307","136.11","135.75","136.66","135.18","23791590"
"42306","138.25","136.11","138.3","135.52","27973160"
"42305","138.35","138.1","138.35","135.8","36173100"
"42304","137.39","138.5","138.5","135.66","35949430"
"42303","139.1","138.5","139.99","136.65","32928060"
"42300","139.71","138.94","140.19","138.5","30182580"
"42299","139.39","139.25","140.17","138.88","25033350"
"42298","140.36","139.49","140.64","138.2","32447530"
"42297","140.74","140.4","140.77","138.6","28930580"
"42296","140.77","140.27","141.52","138.62","27865630"
"42293","143.97","141","144.16","140.2","28994190"
"42292","142.39","142.61","144.16","142.21","22747440"
"42291","141.11","142.01","143.36","140.5","25524780"
"42290","141","141.8","141.8","138.81","31623180"
"42289","143.89","141.7","144.99","140.72","29331570"
"42286","140.6","143.81","145.32","140.6","64777620"
"42285","139.35","139.8","141.15","138.35","41786950"
"42284","138.16","140","140","136.75","42744810"
"42283","137","137.87","137.9","135.17","38694750"
"42282","132.5","136.8","136.8","132.27","38869020"
"42279","132.47","131.5","133.17","131.02","26899830"
"42278","134.7","132.9","135.6","131.51","34119000"
"42277","133.8","134.55","135.73","132.8","43444970"
"42276","130.42","133.2","134.06","130.36","30547740"
"42275","134.1","130.9","134.27","130.37","30738740"
"42272","132.61","133.85","134.55","132.54","35648680"
"42271","134.67","132.2","134.78","131.5","37783580"
"42270","136.5","134.3","136.88","133.38","45316880"
"42269","139.76","136.4","139.76","135.68","36500060"
"42268","140.13","139.45","140.84","138.82","20745480"
"42265","143.34","139.5","143.4","139.1","44194850"
"42264","143","142.8","143.27","142.31","14288750"
"42263","142.45","142.91","143.17","141.6","27476410"
"42262","143.51","141.95","143.8","141.45","24405380"
"42261","142.25","143.58","143.87","142.1","20561300"
"42258","143.26","142.4","143.5","141.2","25381150"
"42257","143.6","142.99","144.78","142.35","24778540"
"42256","144.5","144.22","145.4","144.11","21136180"
